"Demographics","Subgroup","Total Cases","Year","Own-party feeling","Rival-party feeling"
"race","Black, non-Hispanic","172","2000","80.1","43.2"
"race","Black, non-Hispanic","156","2004","76.1","42.7"
"race","Black, non-Hispanic","497","2008","80.1","34.2"
"race","Black, non-Hispanic","485","2012","81.4","27.2"
"race","Black, non-Hispanic","345","2016","79.1","25.5"
"race","Black, non-Hispanic","640","2020","76","22.6"
"race","Black, non-Hispanic","449","2024","74.7","25.9"
"race","Hispanic","56","1978","76","41.3"
"race","Hispanic","49","1980","80.9","47.7"
"race","Hispanic","39","1982","76.6","46.5"
"race","Hispanic","117","1984","77.1","51.3"
"race","Hispanic","95","1986","77","48.7"
"race","Hispanic","134","1988","82.1","46.5"
"race","Hispanic","135","1990","72.9","52.3"
"race","Hispanic","181","1992","74.2","49.9"
"race","Hispanic","119","1994","72.3","48.5"
"race","Hispanic","132","1996","77.2","44.1"
"race","Hispanic","122","1998","77.1","46.3"
"race","Hispanic","120","2000","73.9","44.7"
"race","Hispanic","96","2004","75.8","46.1"
"race","Hispanic","430","2008","74.3","40.6"
"race","Hispanic","393","2012","74","33.9"
"race","Hispanic","361","2016","69.6","29.7"
"race","Hispanic","629","2020","72","25.1"
"race","Hispanic","517","2024","69","25.3"
"race","Other/Multiple races, non-Hispanic","16","1978","NA","NA"
"race","Other/Multiple races, non-Hispanic","13","1980","NA","NA"
"race","Other/Multiple races, non-Hispanic","7","1982","NA","NA"
"race","Other/Multiple races, non-Hispanic","31","1984","67.8","51.5"
"race","Other/Multiple races, non-Hispanic","31","1986","77.3","49.3"
"race","Other/Multiple races, non-Hispanic","50","1988","76.7","51.8"
"race","Other/Multiple races, non-Hispanic","43","1990","72.2","62.1"
"race","Other/Multiple races, non-Hispanic","47","1992","71","51.9"
"race","Other/Multiple races, non-Hispanic","27","1994","71","52.1"
"race","Other/Multiple races, non-Hispanic","37","1996","72.3","48.8"
"race","Other/Multiple races, non-Hispanic","22","1998","67.5","48"
"race","Other/Multiple races, non-Hispanic","89","2000","70.5","43.3"
"race","Other/Multiple races, non-Hispanic","44","2004","73.9","43.3"
"race","Other/Multiple races, non-Hispanic","63","2008","67.1","33.8"
"race","Other/Multiple races, non-Hispanic","120","2012","67","34.1"
"race","Other/Multiple races, non-Hispanic","276","2016","65.9","30.1"
"race","Other/Multiple races, non-Hispanic","572","2020","68.2","22.9"
"race","Other/Multiple races, non-Hispanic","373","2024","67.9","22.9"
"age","18-29","439","1978","67.7","48.1"
"age","18-29","328","1980","68.4","46"
"age","18-29","260","1982","70.9","43.8"
"age","18-29","460","1984","71.7","44.2"
"age","18-29","435","1986","72.4","46.4"
"age","18-29","378","1988","75","46.4"
"age","18-29","362","1990","68.5","47.5"
"age","18-29","396","1992","68","44.3"
"age","18-29","280","1994","68.9","43"
"age","18-29","222","1996","69.7","41.8"
"age","18-29","206","1998","69.6","43.9"
"age","18-29","222","2000","70.5","44.5"
"age","18-29","209","2004","70.5","39.6"
"age","18-29","338","2008","69.9","35.7"
"age","18-29","368","2012","69.3","37.3"
"age","18-29","531","2016","65.3","29.1"
"age","18-29","839","2020","67.1","21.2"
"age","18-29","492","2024","66.9","23.3"
"age","30-44","532","1978","68.8","46.9"
"age","30-44","369","1980","70","46.1"
"age","30-44","358","1982","73.5","43.8"
"age","30-44","596","1984","73.2","46.5"
"age","30-44","608","1986","72.8","46.5"
"age","30-44","600","1988","74.3","43.8"
"age","30-44","558","1990","69.8","46.8"
"age","30-44","737","1992","68.1","41"
"age","30-44","558","1994","69.2","40.2"
"age","30-44","548","1996","69.5","39.8"
"age","30-44","365","1998","68.3","41.3"
"age","30-44","518","2000","70.9","42.7"
"age","30-44","272","2004","71.3","41.3"
"age","30-44","536","2008","69.6","35.4"
"age","30-44","512","2012","67.6","32.3"
"age","30-44","868","2016","67.6","27.5"
"age","30-44","1734","2020","69.8","21"
"age","30-44","1185","2024","67","20.7"
"age","45-59","394","1978","72.7","50"
"age","45-59","289","1980","74","48.3"
"age","45-59","244","1982","74","44.6"
"age","45-59","376","1984","76.7","47.6"
"age","45-59","349","1986","75","44.1"
"age","45-59","332","1988","76.2","47.9"
"age","45-59","303","1990","72.4","45.6"
"age","45-59","448","1992","68.9","41.4"
"age","45-59","327","1994","69.7","42.5"
"age","45-59","357","1996","72.4","42.7"
"age","45-59","273","1998","70.4","37.7"
"age","45-59","433","2000","73.2","38.7"
"age","45-59","314","2004","74.2","39.2"
"age","45-59","585","2008","70.9","32.9"
"age","45-59","485","2012","70.5","33"
"age","45-59","975","2016","66.5","25.4"
"age","45-59","1693","2020","71.8","19"
"age","45-59","1101","2024","70.2","21.2"
"age","60+","371","1978","77.1","47.4"
"age","60+","334","1980","78.2","46.2"
"age","60+","327","1982","78.3","44.9"
"age","60+","455","1984","78.5","45.4"
"age","60+","430","1986","78.6","47.5"
"age","60+","419","1988","80.3","45.4"
"age","60+","451","1990","74.5","46.7"
"age","60+","527","1992","75","41.5"
"age","60+","410","1994","73.6","45.6"
"age","60+","410","1996","76.4","41.3"
"age","60+","255","1998","74.8","42.3"
"age","60+","367","2000","76.3","40.6"
"age","60+","268","2004","78.4","38"
"age","60+","500","2008","72.7","35.5"
"age","60+","392","2012","72.5","30.1"
"age","60+","1177","2016","69.2","23.6"
"age","60+","2709","2020","75","17"
"age","60+","2069","2024","75.6","18.9"
"region","South","472","1978","72.7","49.5"
"region","South","378","1980","75.1","47"
"region","South","358","1982","77.5","46.1"
"region","South","510","1984","76.9","47.1"
"region","South","588","1986","76.8","48"
"region","South","541","1988","77.7","46.3"
"region","South","484","1990","73.7","47.9"
"region","South","626","1992","72.9","43.8"
"region","South","542","1994","71.7","44.5"
"region","South","528","1996","74.5","43.7"
"region","South","370","1998","73.9","42.7"
"region","South","487","2000","74.2","40"
"region","South","337","2004","77.4","40.4"
"region","South","866","2008","72.3","35.5"
"region","South","677","2012","72.5","31.5"
"region","South","1140","2016","69.2","26.1"
"region","South","2209","2020","74.2","19.7"
"region","South","1618","2024","71.9","20.9"
"region","Nonsouth","1272","1978","70.5","47.4"
"region","Nonsouth","944","1980","71.5","46.4"
"region","Nonsouth","832","1982","73","43.5"
"region","Nonsouth","1392","1984","74.1","45.5"
"region","Nonsouth","1237","1986","73.4","45.4"
"region","Nonsouth","1190","1988","75.7","45.2"
"region","Nonsouth","1190","1990","70.3","46.3"
"region","Nonsouth","1482","1992","68.7","41"
"region","Nonsouth","1033","1994","69.4","41.4"
"region","Nonsouth","1010","1996","70.2","39.9"
"region","Nonsouth","743","1998","68.7","40.4"
"region","Nonsouth","1060","2000","71.9","42.3"
"region","Nonsouth","726","2004","71.8","39.2"
"region","Nonsouth","1129","2008","69.7","34.1"
"region","Nonsouth","1128","2012","68.6","33.5"
"region","Nonsouth","2500","2016","66.2","26.1"
"region","Nonsouth","5017","2020","70.3","19.1"
"region","Nonsouth","3471","2024","69.8","20.5"
"knowledge","Less knowledgeable","596","1978","71.6","49.7"
"knowledge","Less knowledgeable","295","1980","74.9","50.9"
"knowledge","Less knowledgeable","775","1982","75.3","44.5"
"knowledge","Less knowledgeable","679","1984","74.5","48.4"
"knowledge","Less knowledgeable","1165","1986","74.5","47.7"
"knowledge","Less knowledgeable","576","1988","74.8","47.2"
"knowledge","Less knowledgeable","785","1990","71.7","49.4"
"knowledge","Less knowledgeable","729","1992","71.2","46"
"knowledge","Less knowledgeable","368","1994","69.5","48.1"
"knowledge","Less knowledgeable","317","1996","71.1","45.3"
"knowledge","Less knowledgeable","321","1998","70.8","47"
"knowledge","Less knowledgeable","556","2000","72","43.7"
"knowledge","Less knowledgeable","383","2004","72.8","44.7"
"knowledge","Less knowledgeable","1090","2008","71.1","36.1"
"knowledge","Less knowledgeable","276","2012","69.4","34.4"
"knowledge","Less knowledgeable","882","2016","67.6","30.3"
"knowledge","Less knowledgeable","2124","2020","72.8","23.3"
"knowledge","Less knowledgeable","1627","2024","69.3","22.9"
"knowledge","More knowledgeable","1143","1978","70.9","47.1"
"knowledge","More knowledgeable","870","1980","71.1","45.5"
"knowledge","More knowledgeable","405","1982","72.3","43.9"
"knowledge","More knowledgeable","970","1984","75.1","43.9"
"knowledge","More knowledgeable","659","1986","74.6","43.5"
"knowledge","More knowledgeable","952","1988","77.1","45.1"
"knowledge","More knowledgeable","887","1990","70.9","44.4"
"knowledge","More knowledgeable","1189","1992","69.1","39.4"
"knowledge","More knowledgeable","1193","1994","70.4","40.4"
"knowledge","More knowledgeable","1066","1996","72.2","39.9"
"knowledge","More knowledgeable","792","1998","70.3","38.6"
"knowledge","More knowledgeable","786","2000","73","39.5"
"knowledge","More knowledgeable","556","2004","74.4","36.1"
"knowledge","More knowledgeable","718","2008","70.3","33"
"knowledge","More knowledgeable","872","2012","69.4","29.3"
"knowledge","More knowledgeable","2618","2016","67","24.4"
"knowledge","More knowledgeable","4950","2020","70.7","17.3"
"knowledge","More knowledgeable","3140","2024","70.4","19.6"
"pid and gender","Male Democrats","481","1978","71.1","48.5"
"pid and gender","Male Democrats","326","1980","72.9","47.9"
"pid and gender","Male Democrats","312","1982","74","44.3"
"pid and gender","Male Democrats","434","1984","73.9","44.9"
"pid and gender","Male Democrats","441","1986","75","46.8"
"pid and gender","Male Democrats","364","1988","75","45.4"
"pid and gender","Male Democrats","433","1990","71.1","45.7"
"pid and gender","Male Democrats","509","1992","70.8","39.9"
"pid and gender","Male Democrats","342","1994","69","47.2"
"pid and gender","Male Democrats","345","1996","72.7","43.4"
"pid and gender","Male Democrats","275","1998","71.3","40.9"
"pid and gender","Male Democrats","348","2000","72.4","43.8"
"pid and gender","Male Democrats","247","2004","71.8","39.6"
"pid and gender","Male Democrats","545","2008","71.5","31.3"
"pid and gender","Male Democrats","512","2012","71.6","31"
"pid and gender","Male Democrats","798","2016","69.7","27"
"pid and gender","Male Democrats","1537","2020","67.8","19.8"
"pid and gender","Male Democrats","1078","2024","68.2","21.1"
"pid and gender","Female Democrats","621","1978","74.5","48.2"
"pid and gender","Female Democrats","478","1980","74","48.1"
"pid and gender","Female Democrats","446","1982","77.2","43.1"
"pid and gender","Female Democrats","604","1984","76.8","44.6"
"pid and gender","Female Democrats","622","1986","76.5","45"
"pid and gender","Female Democrats","563","1988","78.2","45.9"
"pid and gender","Female Democrats","552","1990","73.9","45.2"
"pid and gender","Female Democrats","691","1992","73.4","41.5"
"pid and gender","Female Democrats","487","1994","70.9","46"
"pid and gender","Female Democrats","540","1996","74.1","40.8"
"pid and gender","Female Democrats","373","1998","74.6","37.4"
"pid and gender","Female Democrats","529","2000","75.7","41.5"
"pid and gender","Female Democrats","338","2004","75.3","37.5"
"pid and gender","Female Democrats","804","2008","74.2","34.2"
"pid and gender","Female Democrats","732","2012","75.6","32"
"pid and gender","Female Democrats","1095","2016","72.4","26.9"
"pid and gender","Female Democrats","2254","2020","72.8","21.2"
"pid and gender","Female Democrats","1541","2024","72","21.1"
"pid and gender","Male Republicans","288","1978","65.2","47.5"
"pid and gender","Male Republicans","235","1980","70.6","44.3"
"pid and gender","Male Republicans","217","1982","69.9","44.3"
"pid and gender","Male Republicans","405","1984","72.4","47"
"pid and gender","Male Republicans","363","1986","71.5","45.2"
"pid and gender","Male Republicans","380","1988","76.9","44.1"
"pid and gender","Male Republicans","347","1990","68.2","46.3"
"pid and gender","Male Republicans","479","1992","65.2","41.6"
"pid and gender","Male Republicans","390","1994","69.9","37.9"
"pid and gender","Male Republicans","344","1996","68.8","38.1"
"pid and gender","Male Republicans","236","1998","65.8","41.8"
"pid and gender","Male Republicans","334","2000","69","38.8"
"pid and gender","Male Republicans","247","2004","71.8","41.6"
"pid and gender","Male Republicans","315","2008","65.1","35.2"
"pid and gender","Male Republicans","272","2012","63.8","33.2"
"pid and gender","Male Republicans","900","2016","60.9","24.6"
"pid and gender","Male Republicans","1748","2020","70.8","17.7"
"pid and gender","Male Republicans","1281","2024","69","20"
"pid and gender","Female Republicans","354","1978","69.9","47.3"
"pid and gender","Female Republicans","283","1980","71.3","44.5"
"pid and gender","Female Republicans","215","1982","73.3","46.7"
"pid and gender","Female Republicans","459","1984","75.3","47.8"
"pid and gender","Female Republicans","399","1986","73.6","48.5"
"pid and gender","Female Republicans","424","1988","74.3","46.6"
"pid and gender","Female Republicans","342","1990","70.4","50.9"
"pid and gender","Female Republicans","429","1992","68.8","44.9"
"pid and gender","Female Republicans","356","1994","70.8","38.3"
"pid and gender","Female Republicans","309","1996","69.9","43.1"
"pid and gender","Female Republicans","229","1998","67.8","46.7"
"pid and gender","Female Republicans","336","2000","71.2","42.1"
"pid and gender","Female Republicans","231","2004","75.4","40.3"
"pid and gender","Female Republicans","331","2008","69.9","38.7"
"pid and gender","Female Republicans","289","2012","67","35.6"
"pid and gender","Female Republicans","804","2016","64.1","25.8"
"pid and gender","Female Republicans","1651","2020","74.3","18"
"pid and gender","Female Republicans","1154","2024","72.9","19.9"
"pid and education","Non-college Democrats","941","1978","74","48.4"
"pid and education","Non-college Democrats","680","1980","74.9","48.9"
"pid and education","Non-college Democrats","629","1982","77.2","43.9"
"pid and education","Non-college Democrats","871","1984","76.2","45.7"
"pid and education","Non-college Democrats","847","1986","76.7","45.7"
"pid and education","Non-college Democrats","745","1988","77.5","45.9"
"pid and education","Non-college Democrats","790","1990","73.7","46.4"
"pid and education","Non-college Democrats","926","1992","73.5","42.3"
"pid and education","Non-college Democrats","644","1994","70.1","47.9"
"pid and education","Non-college Democrats","666","1996","74.5","42.5"
"pid and education","Non-college Democrats","478","1998","74.2","39.6"
"pid and education","Non-college Democrats","632","2000","74.3","42.9"
"pid and education","Non-college Democrats","404","2004","75.1","40.7"
"pid and education","Non-college Democrats","1068","2008","73.9","34.6"
"pid and education","Non-college Democrats","959","2012","74.9","33.1"
"pid and education","Non-college Democrats","1098","2016","71.8","28.6"
"pid and education","Non-college Democrats","1809","2020","72.1","23.3"
"pid and education","Non-college Democrats","1204","2024","71","23"
"pid and education","College grad+ Democrats","158","1978","67.1","48"
"pid and education","College grad+ Democrats","121","1980","65.5","43.3"
"pid and education","College grad+ Democrats","126","1982","69.6","42.3"
"pid and education","College grad+ Democrats","162","1984","73.1","39.4"
"pid and education","College grad+ Democrats","204","1986","72.4","45.6"
"pid and education","College grad+ Democrats","163","1988","73.6","44"
"pid and education","College grad+ Democrats","184","1990","68.1","41.9"
"pid and education","College grad+ Democrats","252","1992","67.6","35"
"pid and education","College grad+ Democrats","173","1994","69.8","38.7"
"pid and education","College grad+ Democrats","218","1996","69.7","38.9"
"pid and education","College grad+ Democrats","168","1998","69.2","36.7"
"pid and education","College grad+ Democrats","245","2000","74.5","40.5"
"pid and education","College grad+ Democrats","181","2004","69.9","32.4"
"pid and education","College grad+ Democrats","272","2008","70.8","28.5"
"pid and education","College grad+ Democrats","273","2012","70.4","27.5"
"pid and education","College grad+ Democrats","809","2016","70.1","23.5"
"pid and education","College grad+ Democrats","1954","2020","68.5","16.8"
"pid and education","College grad+ Democrats","1407","2024","69.3","18.6"
"pid and education","Non-college Republicans","480","1978","68.3","48.2"
"pid and education","Non-college Republicans","402","1980","71.6","45.3"
"pid and education","Non-college Republicans","325","1982","71.7","46.7"
"pid and education","Non-college Republicans","683","1984","74.4","48.2"
"pid and education","Non-college Republicans","565","1986","72.9","47.8"
"pid and education","Non-college Republicans","588","1988","75.2","46.4"
"pid and education","Non-college Republicans","498","1990","69.1","50.4"
"pid and education","Non-college Republicans","610","1992","67.2","45.3"
"pid and education","Non-college Republicans","487","1994","69.3","39.2"
"pid and education","Non-college Republicans","428","1996","69.1","41.4"
"pid and education","Non-college Republicans","307","1998","67.4","46.1"
"pid and education","Non-college Republicans","408","2000","71.2","40.6"
"pid and education","Non-college Republicans","318","2004","73.7","42.1"
"pid and education","Non-college Republicans","455","2008","68.5","39"
"pid and education","Non-college Republicans","372","2012","67.4","36.3"
"pid and education","Non-college Republicans","1026","2016","64.1","25.1"
"pid and education","Non-college Republicans","2001","2020","74.9","17.3"
"pid and education","Non-college Republicans","1483","2024","72.6","19.3"
"pid and education","College grad+ Republicans","160","1978","66.4","45.3"
"pid and education","College grad+ Republicans","115","1980","68.5","41.7"
"pid and education","College grad+ Republicans","106","1982","71.6","41.6"
"pid and education","College grad+ Republicans","177","1984","72.3","44.3"
"pid and education","College grad+ Republicans","191","1986","71.7","44.3"
"pid and education","College grad+ Republicans","204","1988","75.9","42.7"
"pid and education","College grad+ Republicans","175","1990","69.6","44.1"
"pid and education","College grad+ Republicans","266","1992","66.5","37.9"
"pid and education","College grad+ Republicans","237","1994","72.8","34.5"
"pid and education","College grad+ Republicans","223","1996","69.9","37.6"
"pid and education","College grad+ Republicans","155","1998","65.3","39"
"pid and education","College grad+ Republicans","260","2000","67.8","40"
"pid and education","College grad+ Republicans","160","2004","72.9","38.2"
"pid and education","College grad+ Republicans","188","2008","65.8","33.3"
"pid and education","College grad+ Republicans","185","2012","61.4","30.9"
"pid and education","College grad+ Republicans","682","2016","58.9","25.4"
"pid and education","College grad+ Republicans","1367","2020","67.8","18.9"
"pid and education","College grad+ Republicans","948","2024","65.5","22.8"
"pid and race","White Democrats","892","1978","71.7","49.5"
"pid and race","White Democrats","615","1980","71","48.4"
"pid and race","White Democrats","591","1982","73.9","45"
"pid and race","White Democrats","753","1984","73.9","45.2"
"pid and race","White Democrats","714","1986","73.9","46.6"
"pid and race","White Democrats","593","1988","74.1","46"
"pid and race","White Democrats","679","1990","70.7","44.9"
"pid and race","White Democrats","824","1992","70.2","40"
"pid and race","White Democrats","558","1994","66.9","44.6"
"pid and race","White Democrats","613","1996","70.4","41.2"
"pid and race","White Democrats","420","1998","68.8","39.1"
"pid and race","White Democrats","579","2000","71.9","42.3"
"pid and race","White Democrats","349","2004","71.6","36"
"pid and race","White Democrats","490","2008","70.2","32.4"
"pid and race","White Democrats","383","2012","69.9","33.5"
"pid and race","White Democrats","1168","2016","67.6","27.2"
"pid and race","White Democrats","2416","2020","67.6","18.3"
"pid and race","White Democrats","1681","2024","69.1","18.7"
"pid and race","Black Democrats","153","1978","78.6","43.7"
"pid and race","Black Democrats","145","1980","83.1","46.8"
"pid and race","Black Democrats","128","1982","84.4","36.8"
"pid and race","Black Democrats","183","1984","82.7","39.5"
"pid and race","Black Democrats","256","1986","80.9","41.8"
"pid and race","Black Democrats","196","1988","82.7","42.1"
"pid and race","Black Democrats","194","1990","78.5","42.5"
"pid and race","Black Democrats","230","1992","77.6","38.3"
"pid and race","Black Democrats","157","1994","79.4","50.8"
"pid and race","Black Democrats","153","1996","81.1","42.2"
"pid and race","Black Democrats","117","1998","84.4","35.4"
"pid and race","Black Democrats","158","2000","82.5","43.1"
"pid and race","Black Democrats","144","2004","77","41"
"pid and race","Black Democrats","475","2008","81.3","32.4"
"pid and race","Black Democrats","464","2012","82.9","25.6"
"pid and race","Black Democrats","328","2016","80","23.2"
"pid and race","Black Democrats","585","2020","77","21.6"
"pid and race","Black Democrats","389","2024","76.7","23.1"
"pid and race","Hispanic Democrats","45","1978","78.1","38.7"
"pid and race","Hispanic Democrats","34","1980","80.6","45.8"
"pid and race","Hispanic Democrats","33","1982","78.4","45.6"
"pid and race","Hispanic Democrats","81","1984","76.7","49.7"
"pid and race","Hispanic Democrats","72","1986","77.1","49.7"
"pid and race","Hispanic Democrats","94","1988","82.8","48.3"
"pid and race","Hispanic Democrats","91","1990","75.9","52.4"
"pid and race","Hispanic Democrats","123","1992","75.9","49.1"
"pid and race","Hispanic Democrats","81","1994","72.3","49.2"
"pid and race","Hispanic Democrats","98","1996","79.9","42.5"
"pid and race","Hispanic Democrats","89","1998","78.4","42.6"
"pid and race","Hispanic Democrats","77","2000","75.8","43.5"
"pid and race","Hispanic Democrats","57","2004","76.9","47.3"
"pid and race","Hispanic Democrats","321","2008","76.7","37.2"
"pid and race","Hispanic Democrats","309","2012","75.6","32.2"
"pid and race","Hispanic Democrats","260","2016","73.9","28.2"
"pid and race","Hispanic Democrats","422","2020","73.1","25.6"
"pid and race","Hispanic Democrats","332","2024","69.4","24.8"
"pid and race","Other Democrats","10","1978","NA","NA"
"pid and race","Other Democrats","10","1980","NA","NA"
